ID,Title,Location,Company,Condition,ExpireDate
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52417827,[여의도/근무환경]나이스평가정보 데이터추출 및 가공 팀원 채용,서울영등포구,(주)티오에스코리아,서울 영등포구경력무관대졸↑파견직,~ 12/27(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52594770,환경분야 기획연구 및 빅데이터 분석 담당자,서울강서구,지씨에스솔루션(주),서울 강서구경력무관대졸↑정규직·계약직,~ 01/16(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52519432,"ㅡ연구과제참여 - AI기반 의료 데이터(Image, EMR) 분석 채용",서울종로구,서울대학교병원,서울 종로구신입·경력대졸↑계약직,~ 01/08(목)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52605707,서울아산병원 신경외과 뇌신경질환 연구원 모집,서울송파구,서울아산병원,서울 송파구경력무관석사↑위촉직,~ 01/17(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52066909,대졸자 취업교육생 모집(게임개발/제품설계/바이오/전기),경기전체,한국폴리텍대학 광명융합기술교육원,경기전체경력무관초대졸↑교육생,~ 12/31(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52457197,도미노피자 각 부문(자회사 포함) 공개 채용,서울강남구,청오디피케이(주),서울 강남구신입·경력학력무관정규직,~ 01/06(화)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52486616,(주)오너브 2026년 1차 각 부문 별 신입/경력 채용,서울노원구,주식회사 오너브,서울 노원구신입·경력학력무관정규직·계약직,~ 12/31(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52459900,SWM 자율주행 AI 테크센터 채용공고,경기안양시,(주)에스더블유엠,경기 안양시신입·경력대졸↑정규직,~ 12/31(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=52567613,인프라 서비스 엔지니어 채용,서울강남구,수퍼게이트(주),서울 강남구경력대졸↑정규직,~ 01/14(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?&rec_idx=49563552,"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",서울종로구,엠비씨(MBC)아카데미 컴퓨터교육센터,서울 종로구신입·경력학력무관교육생,~ 01/19(월)
